ParamSetup
sysdiagrams


ParamSetup
RobotSetupItems
Index,Label,Tab,DataSource,Datatype,PLCTag,ProgName1,VarName1,ProgName2,VarName2,DBName,DBTableName,DBRowName,DBColumnName,RegPath,RegKey,Edit,Min,Max,Scale,Precision,UseCbo,CustomCBO,Formula,Display,PainterOnly
1,psPushUnknown,ColorChange,Robot,Boolean   ,,pavrccex,tCCEXCmos.sap_unknown,,,,,,,,,True,0,0,1,,,,,,True
2,psAutoCC,ColorChange,Robot,Boolean   ,,pavrccex,tCCEXCmos.cc_req,,,,,,,,,True,0,0,1,,,,,,True
3,psPeriodicGC,ColorChange,Robot,Boolean   ,,pavrccex,tCCEXCmos.gc_req,,,,,,,,,True,0,0,1,,,,,,True
6,psClnUnknown,ColorChange,Robot,boolean   ,,pavrccex,tCCEXCmos.cln_unknown,,,,,,,,,True,0,0,1,,,,,,True
8,psStartAtLast,ColorChange,Robot,boolean   ,,pavrccex,tCCEXCmos.ccgo_atlast,,,,,,,,,True,0,0,1,,,,,,True
9,psWetVlvDel,ColorChange,Robot,integer   ,,pavrccex,tCCEXCmos.wet_delay_ms,,,,,,,,,True,0,999,1,,,,,,True
10,psCCResume,ColorChange,Robot,boolean   ,,pavrccex,tCCEXCmos.ccresume_req;#VER7.30##NOT_USED#,,,,,,,,,True,0,0,1,,,,,False,True
17,psPushoutEnabled,ArmOptions,Robot,integer   ,,pavroptn,#VER7.30#byoptn[#Equip#].byOp[7],,,,,,,,,True,0,1,1,,True,psNO;0;psBY_TIME;1;psBY_VOLUME;2,,,True
18,psPushoutEnabled,ArmOptions,Robot,integer   ,,pavroptn,#VER6.30#byOp[7];#VER7.30##NOT_USED#,,,,,,,,,True,0,1,1,,True,psYES;1;psNO;0,,False,True
19,psFindLastGunOff,ArmOptions,Robot,integer   ,,pavroptn,#VER6.30#byOp[13];#VER7.30#byoptn[#Equip#].byOp[13],,,,,,,,,True,0,1,1,,True,psYES;1;psNO;0,,,True
20,psGCCount,ArmOptions,Robot,integer   ,,pavrccex,tCCEqCmos[#Equip#].gc_cnt,,,,,,,,,True,0,99,1,,,,,,True
21,psMoveHomeAtJobEnd,ArmOptions,Robot,integer   ,,pavroptn,#VER6.30#byOp[30];#VER7.30#byoptn[#Equip#].byOp[30],,,,,,,,,True,0,0,1,,True,psYES;1;psNO;0,,,False
22,psStartSignalIgnore,ArmOptions,Robot,integer   ,,pavroptn,#VER6.30#byOp[4];#VER7.30#byoptn[#Equip#].byOp[4],,,,,,,,,True,0,0,1,,True,psYES;1;psNO;0,,,False
41,psGunOnDelay,ArmOptions,Robot,integer   ,,pavrguns,gun_on_time[#Equip#];#VER7.30##NOT_USED#,,,,,,,,,True,-100,1000,1,,,,,False,True
42,psGunOffDelay,ArmOptions,Robot,integer   ,,pavrguns,gun_off_time[#Equip#];#VER7.30##NOT_USED#,,,,,,,,,True,-100,1000,1,,,,,False,True
43,psAABSAnt,ArmOptions,Robot,integer   ,,pavrparm,CON_PRM_DESC[#Parm2#].APP_CON_TIME;#VER7.30#TPARMEQ[#Equip#].CON_PRM_DESC[2].APP_CON_TIME,,,,,,,,,True,-100,1000,1,,,,,,True
44,psFASAAnt,ArmOptions,Robot,integer   ,,pavrparm,CON_PRM_DESC[#Parm3#].APP_CON_TIME;#VER7.30#TPARMEQ[#Equip#].CON_PRM_DESC[3].APP_CON_TIME,,,,,,,,,True,-100,1000,1,,,,,,True
45,psResTimDiff,CommonOptions,Robot,integer   ,,pavroptn,psh_min_dif,,,,,,,,,True,0,9999,1,,,,,,True
46,psRestTimDel,CommonOptions,Robot,integer   ,,pavrguns,restore_time,,,,,,,,,True,0,9999,1,,,,,,True
47,psGunOnDelay,CommonOptions,Robot,integer   ,,pavrguns,#VER7.30#gun_on_time,,,,,,,,,True,-100,1000,1,,,,,,True
48,psGunOffDelay,CommonOptions,Robot,integer   ,,pavrguns,#VER7.30#gun_off_time,,,,,,,,,True,-100,1000,1,,,,,,True
61,psHvonTo,EstatSetup          ,Robot,integer   ,,pavrparm,EstatSetup[#Equip#].hvon_time,,,,,,,,,True,250,9999,1,,,,,,True
62,psEsSprTo,EstatSetup          ,Robot,integer   ,,pavrparm,EstatSetup[#Equip#].SPR_time,,,,,,,,,True,500,30000,1,,,,,,True
63,psEeResTime,EstatSetup          ,Robot,integer   ,,pavrparm,EstatSetup[#Equip#].ESRstTime,,,,,,,,,True,0,10000,1,,,,,,True
71,psEsLowLevDel,EstatTracking       ,Robot,integer   ,,pavrlntr,lo_lev_delay,,,,,,,,,True,0,10000,1,,,,,False,True
72,psEsContTrkDel,EstatTracking       ,Robot,integer   ,,pavrlntr,iMottimLim,,,,,,,,,True,0,9999,1,,,,,False,True
73,psEsLowLevPre,EstatTracking       ,Robot,integer   ,,pavrlntr,estat_lo_lev,,,,,,,,,True,0,255,1,,,,,,True
74,psEsLowLevEnab,EstatTracking       ,Robot,boolean   ,,pavrlntr,estat_opt,,,,,,,,,True,0,0,1,,,,,,True
75,psEsOneStroke,EstatTracking       ,Robot,boolean   ,,pavrlntr,conv_opt,,,,,,,,,False,0,0,1,,,,,,True
81,psPartDetDist,LineTracking,Robot,integer   ,,pavrlntr,BODY_DIST2[#Cust#],,,,,,,,,True,-99999,99999,1,,,,,,False
82,psEncThreshld,LineTracking,Robot,integer   ,,pavrlntr,enc_thresh[1],,,,,,,,,True,0,9999,1,,,,,,False
83,psEncMinDist,LineTracking,Robot,integer   ,,pavrlntr,enc_mindist[1],,,,,,,,,True,0,9999,1,,,,,,False
84,psEncMaxDist,LineTracking,Robot,integer   ,,pavrlntr,enc_maxdist[1],,,,,,,,,True,0,99999,1,,,,,,False
85,psSimConvSpd,LineTracking,Robot,integer   ,,pavrlntr,sim_conv_spd,,,,,,,,,True,0,300,1,0,,,,,False
86,psEncAver,LineTracking,Robot,real      ,,pavrlntr,enc_average[1],,,,,,,,,True,0,100,1,2,,,,,False
87,psEncScale,LineTracking,Robot,real      ,,pavrlntr,enc_scale[1],,,,,,,,,True,0,9999,1,2,,,,,False
88,psHoldCC,LineTracking,Robot,integer   ,,pavrlntr,iholdccpos[#Cust#],,,,,,,,,True,-99999,99999,1,0,,,,,False
89,psInBnd1,LineTracking,Robot,real      ,,pavrlntr,in_bound1[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[1],,,,,,,True,-99999,99999,1,2,,,,,False
90,psOutBnd1,LineTracking,Robot,real      ,,pavrlntr,out_bound1[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[1],,,,,,,True,-99999,99999,1,2,,,,,False
91,psInBnd2,LineTracking,Robot,real      ,,pavrlntr,in_bound2[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[2],,,,,,,True,-99999,99999,1,2,,,,,False
92,psOutBnd2,LineTracking,Robot,real      ,,pavrlntr,out_bound2[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[2],,,,,,,True,-99999,99999,1,2,,,,,False
93,psInBnd3,LineTracking,Robot,real      ,,pavrlntr,in_bound3[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[3],,,,,,,True,-99999,99999,1,2,,,,,False
94,psOutBnd3,LineTracking,Robot,real      ,,pavrlntr,out_bound3[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[3],,,,,,,True,-99999,99999,1,2,,,,,False
95,psInBnd4,LineTracking,Robot,real      ,,pavrlntr,in_bound4[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[4],,,,,,,True,-99999,99999,1,2,,,,,False
96,psOutBnd4,LineTracking,Robot,real      ,,pavrlntr,out_bound4[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[4],,,,,,,True,-99999,99999,1,2,,,,,False
97,psInBnd5,LineTracking,Robot,real      ,,pavrlntr,in_bound5[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[5],,,,,,,True,-99999,99999,1,2,,,,,False
98,psOutBnd5,LineTracking,Robot,real      ,,pavrlntr,out_bound5[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[5],,,,,,,True,-99999,99999,1,2,,,,,False
99,psInBnd6,LineTracking,Robot,real      ,,pavrlntr,in_bound6[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[6],,,,,,,True,-99999,99999,1,2,,,,,False
100,psOutBnd6,LineTracking,Robot,real      ,,pavrlntr,out_bound6[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[6],,,,,,,True,-99999,99999,1,2,,,,,False
101,psInBnd7,LineTracking,Robot,real      ,,pavrlntr,in_bound7[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[7],,,,,,,True,-99999,99999,1,2,,,,,False
102,psOutBnd7,LineTracking,Robot,real      ,,pavrlntr,out_bound7[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[7],,,,,,,True,-99999,99999,1,2,,,,,False
103,psInBnd8,LineTracking,Robot,real      ,,pavrlntr,in_bound8[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[8],,,,,,,True,-99999,99999,1,2,,,,,False
104,psOutBnd8,LineTracking,Robot,real      ,,pavrlntr,out_bound8[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[8],,,,,,,True,-99999,99999,1,2,,,,,False
105,psInBnd9,LineTracking,Robot,real      ,,pavrlntr,in_bound9[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[9],,,,,,,True,-99999,99999,1,2,,,,,False
106,psOutBnd9,LineTracking,Robot,real      ,,pavrlntr,out_bound9[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[9],,,,,,,True,-99999,99999,1,2,,,,,False
107,psInBnd10,LineTracking,Robot,real      ,,pavrlntr,in_bound10[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND1[10],,,,,,,True,-99999,99999,1,2,,,,,False
108,psOutBnd10,LineTracking,Robot,real      ,,pavrlntr,out_bound10[#Cust#],*SYSTEM*,$LNSCH[#Cust#].$BOUND2[10],,,,,,,True,-99999,99999,1,2,,,,,False
111,psPotLifeTimeout,ColorChange,plc,integer   ,#2K#Z#Zone#R#Controller#PotLifeTimeout,,,,,,,,,,,True,0,300,1,,,,,,True
112,psEq1ShapingAir1ModePermanent,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm3#].op_mode,,,,,,,,,True,2,3,1,,True,Closed Loop;2;Open Loop;3,,True,True
113,psEq1ShapingAir2ModePermanent,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm4#].op_mode,,,,,,,,,True,2,3,1,,True,Closed Loop;2;Open Loop;3,,True,True
114,psEq1ShapingAir1ModeTemporary,Shaping Air Setup   ,Robot,integer   ,,patsctl,ts_chan_dyn[#TsParm3#].cur_op_mode,,,,,,,,,True,2,3,1,,True,Closed Loop;2;Open Loop;3,,True,True
115,psEq1ShapingAir2ModeTemporary,Shaping Air Setup   ,Robot,integer   ,,patsctl,ts_chan_dyn[#TsParm4#].cur_op_mode,,,,,,,,,True,2,3,1,,True,Closed Loop;2;Open Loop;3,,True,True
116,psEq1ShapingAir1MaxOutputTime,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm3#].max_out_ms,,,,,,,,,True,0,15000,1,,,,,True,True
117,psEq1ShapingAir2MaxOutputTime,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm4#].max_out_ms,,,,,,,,,True,0,15000,1,,,,,True,True
118,psEq1ShapingAir1SetpointReachedTol,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm3#].per_tol_band,,,,,,,,,True,0.1,9.99,0.1,1,,,0,True,True
119,psEq1ShapingAir2SetpointReachedTol,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm4#].per_tol_band,,,,,,,,,True,0.1,9.99,0.1,1,,,,True,True
120,psEq1ShapingAir1ZeroSpeedTO,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm3#].zero_spd_ms,,,,,,,,,True,0,5000,1,,,,,True,True
121,psEq1ShapingAir2ZeroSpeedTO,Shaping Air Setup   ,Robot,integer   ,,pavrtsgl,ts_chan_prm[#TsParm4#].zero_spd_ms,,,,,,,,,True,0,5000,1,,,,,True,True


ParamSetup
PWIIISetupItems
Index,Label,Tab,DataSource,Datatype,PLCTag,ProgName1,VarName1,ProgName2,VarName2,DBName,DBTableName,DBRowName,DBColumnName,RegPath,RegKey,Edit,Min,Max,Scale,Precision,UseCbo,CustomCBO,Formula,Display,PainterOnly
1,psAlarmLogDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,Alarm,,,True,1,365,1,0,False,,0,,
2,psProdLogDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,Production,,,True,1,365,1,0,False,,0,,
3,psChangeLogDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,Change,,,True,1,365,1,0,False,,0,,
4,psVisionLogDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,Vision,,,True,1,365,1,0,False,,0,False,
5,psDiagnosticLogDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,Diagnostic,,,True,1,15,1,0,False,,0,,
6,psDiagnosticArchiveDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,DiagnosticArchive,,,True,1,365,1,0,False,,0,,
7,psRobotBackupsDTK,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,RobotBackups,,,True,1,50,1,0,False,,0,,
8,psDriveFullThreshhold,DaysToKeep,XML,int       ,,,,,,DaysToKeep,DaysToKeep,,DriveFullThreshold,,,True,1,100,1,0,False,,0,,
21,psPFEAlarmNum0,PFEAlarms,PLC,int       ,Z1PFEAlarmNum0,,,,,,,,,,,True,0,100000,1,,,,,False,
22,psPFEAlarmText0,PFEAlarms,PLC,string    ,Z1PFEAlarmText0,,,,,,,,,,,True,0,0,1,,,,,False,
23,psPFEAlarmNum1,PFEAlarms,PLC,int       ,Z1PFEAlarmNum1,,,,,,,,,,,True,0,100000,1,,,,,False,
24,psPFEAlarmText1,PFEAlarms,PLC,string    ,Z1PFEAlarmText1,,,,,,,,,,,True,0,0,1,,,,,False,
25,psPFEAlarmNum2,PFEAlarms,PLC,int       ,Z1PFEAlarmNum2,,,,,,,,,,,True,0,100000,1,,,,,False,
26,psPFEAlarmText2,PFEAlarms,PLC,string    ,Z1PFEAlarmText2,,,,,,,,,,,True,0,0,1,,,,,False,
27,psPFEAlarmNum3,PFEAlarms,PLC,int       ,Z1PFEAlarmNum3,,,,,,,,,,,True,0,100000,1,,,,,False,
28,psPFEAlarmText3,PFEAlarms,PLC,string    ,Z1PFEAlarmText3,,,,,,,,,,,True,0,0,1,,,,,False,
29,psPFEAlarmNum4,PFEAlarms,PLC,int       ,Z1PFEAlarmNum4,,,,,,,,,,,True,0,100000,1,,,,,False,
30,psPFEAlarmText4,PFEAlarms,PLC,string    ,Z1PFEAlarmText4,,,,,,,,,,,True,0,0,1,,,,,False,
31,psPFEAlarmNum5,PFEAlarms,PLC,int       ,Z1PFEAlarmNum5,,,,,,,,,,,True,0,100000,1,,,,,False,
32,psPFEAlarmText5,PFEAlarms,PLC,string    ,Z1PFEAlarmText5,,,,,,,,,,,True,0,0,1,,,,,False,
33,psPFEAlarmNum6,PFEAlarms,PLC,int       ,Z1PFEAlarmNum6,,,,,,,,,,,True,0,100000,1,,,,,False,
34,psPFEAlarmText6,PFEAlarms,PLC,string    ,Z1PFEAlarmText6,,,,,,,,,,,True,0,0,1,,,,,False,
35,psPFEAlarmNum7,PFEAlarms,PLC,int       ,Z1PFEAlarmNum7,,,,,,,,,,,True,0,100000,1,,,,,False,
36,psPFEAlarmText7,PFEAlarms,PLC,string    ,Z1PFEAlarmText7,,,,,,,,,,,True,0,0,1,,,,,False,
37,psPFEAlarmNum8,PFEAlarms,PLC,int       ,Z1PFEAlarmNum8,,,,,,,,,,,True,0,100000,1,,,,,False,
38,psPFEAlarmText8,PFEAlarms,PLC,string    ,Z1PFEAlarmText8,,,,,,,,,,,True,0,0,1,,,,,False,
39,psPFEAlarmNum9,PFEAlarms,PLC,int       ,Z1PFEAlarmNum9,,,,,,,,,,,True,0,100000,1,,,,,False,
40,psPFEAlarmText9,PFEAlarms,PLC,string    ,Z1PFEAlarmText9,,,,,,,,,,,True,0,0,1,,,,,False,
