3/19/2017 1:02:12 PM - PAINTworks Scheduled Maintenance started
3/19/2017 1:02:13 PM - File/Database Cleanup option selected
3/19/2017 1:02:13 PM - Backing up Alarm Log.mdf
3/19/2017 1:02:16 PM - Backing up ChangeLog.mdf
3/19/2017 1:02:16 PM - Backing up Process Data.mdf
3/19/2017 1:02:16 PM - Backing up Production Log.mdf
3/19/2017 1:02:17 PM - Backing up WeeklyReports.mdf
3/19/2017 1:02:17 PM - Deleting records older than 98 days from Alarm Log
3/19/2017 1:02:48 PM - Error: Alarm Log - Failed to delete expired records.
3/19/2017 1:02:48 PM - Deleting records older than 99 days from Changelog
3/19/2017 1:02:57 PM - Deleting records older than 99 days from Production Log
3/19/2017 1:02:59 PM - File/Database Cleanup  complete
3/19/2017 1:03:00 PM - Robot Backup option selected
3/19/2017 1:03:00 PM - Creating Robot backup folder C:\Paint\PW Robot Backups\2017_03_19_1303
3/19/2017 1:03:00 PM - Backing up RC_P2 to C:\Paint\PW Robot Backups\2017_03_19_1303\RC_P2
3/19/2017 1:03:01 PM - Backing up RC_P2 -bcked2-.ls
3/19/2017 1:03:02 PM - Backing up RC_P2 -bcked2-.tp
3/19/2017 1:03:02 PM - Backing up RC_P2 -bcked8-.ls
3/19/2017 1:03:02 PM - Backing up RC_P2 -bcked9-.ls
3/19/2017 1:03:02 PM - Backing up RC_P2 -bckedt-.ls
3/19/2017 1:03:02 PM - Backing up RC_P2 accntg.dg
3/19/2017 1:03:04 PM - Backing up RC_P2 axis.dg
3/19/2017 1:03:04 PM - Backing up RC_P2 backcont.dg
3/19/2017 1:03:04 PM - Backing up RC_P2 backdate.dt
3/19/2017 1:03:04 PM - Backing up RC_P2 bypass.ls
3/19/2017 1:03:04 PM - Backing up RC_P2 bypass.tp
3/19/2017 1:03:04 PM - Backing up RC_P2 chgcl01.va
3/19/2017 1:03:05 PM - Backing up RC_P2 chgcl01.vr
3/19/2017 1:03:05 PM - Backing up RC_P2 chgcl02.va
3/19/2017 1:03:06 PM - Backing up RC_P2 chgcl02.vr
3/19/2017 1:03:06 PM - Backing up RC_P2 chgcl03.va
3/19/2017 1:03:07 PM - Backing up RC_P2 chgcl03.vr
3/19/2017 1:03:07 PM - Backing up RC_P2 chgcl04.va
3/19/2017 1:03:08 PM - Backing up RC_P2 chgcl04.vr
3/19/2017 1:03:08 PM - Backing up RC_P2 chgcl05.va
3/19/2017 1:03:09 PM - Backing up RC_P2 chgcl05.vr
3/19/2017 1:03:09 PM - Backing up RC_P2 chgcl06.va
3/19/2017 1:03:10 PM - Backing up RC_P2 chgcl06.vr
3/19/2017 1:03:10 PM - Backing up RC_P2 chgcl07.va
3/19/2017 1:03:11 PM - Backing up RC_P2 chgcl07.vr
3/19/2017 1:03:11 PM - Backing up RC_P2 chgcl08.va
3/19/2017 1:03:12 PM - Backing up RC_P2 chgcl08.vr
3/19/2017 1:03:12 PM - Backing up RC_P2 chgcl09.va
3/19/2017 1:03:13 PM - Backing up RC_P2 chgcl09.vr
3/19/2017 1:03:13 PM - Backing up RC_P2 chgcl10.va
3/19/2017 1:03:14 PM - Backing up RC_P2 chgcl10.vr
3/19/2017 1:03:14 PM - Backing up RC_P2 chgcl11.va
3/19/2017 1:03:15 PM - Backing up RC_P2 chgcl11.vr
3/19/2017 1:03:15 PM - Backing up RC_P2 chgcl12.va
3/19/2017 1:03:16 PM - Backing up RC_P2 chgcl12.vr
3/19/2017 1:03:16 PM - Backing up RC_P2 chgcl13.va
3/19/2017 1:03:17 PM - Backing up RC_P2 chgcl13.vr
3/19/2017 1:03:17 PM - Backing up RC_P2 chgcl14.va
3/19/2017 1:03:18 PM - Backing up RC_P2 chgcl14.vr
3/19/2017 1:03:18 PM - Backing up RC_P2 chgcl15.va
3/19/2017 1:03:19 PM - Backing up RC_P2 chgcl15.vr
3/19/2017 1:03:19 PM - Backing up RC_P2 chgcl16.va
3/19/2017 1:03:20 PM - Backing up RC_P2 chgcl16.vr
3/19/2017 1:03:20 PM - Backing up RC_P2 chgcl17.va
3/19/2017 1:03:21 PM - Backing up RC_P2 chgcl17.vr
3/19/2017 1:03:21 PM - Backing up RC_P2 chgcl18.va
3/19/2017 1:03:22 PM - Backing up RC_P2 chgcl18.vr
3/19/2017 1:03:22 PM - Backing up RC_P2 chgcl19.va
3/19/2017 1:03:23 PM - Backing up RC_P2 chgcl19.vr
3/19/2017 1:03:23 PM - Backing up RC_P2 chgcl20.va
3/19/2017 1:03:24 PM - Backing up RC_P2 chgcl20.vr
3/19/2017 1:03:24 PM - Backing up RC_P2 chgcl21.va
3/19/2017 1:03:25 PM - Backing up RC_P2 chgcl21.vr
3/19/2017 1:03:25 PM - Backing up RC_P2 chgcl22.va
3/19/2017 1:03:26 PM - Backing up RC_P2 chgcl22.vr
3/19/2017 1:03:26 PM - Backing up RC_P2 chgcl23.va
3/19/2017 1:03:27 PM - Backing up RC_P2 chgcl23.vr
3/19/2017 1:03:27 PM - Backing up RC_P2 chgcl24.va
3/19/2017 1:03:28 PM - Backing up RC_P2 chgcl24.vr
3/19/2017 1:03:28 PM - Backing up RC_P2 chgcolxx.va
3/19/2017 1:03:29 PM - Backing up RC_P2 chgcolxx.vr
3/19/2017 1:03:29 PM - Backing up RC_P2 clnin.ls
3/19/2017 1:03:29 PM - Backing up RC_P2 clnin.tp
3/19/2017 1:03:29 PM - Backing up RC_P2 clnout.ls
3/19/2017 1:03:29 PM - Backing up RC_P2 clnout.tp
3/19/2017 1:03:29 PM - Backing up RC_P2 conslog.dg
3/19/2017 1:03:29 PM - Backing up RC_P2 constail.dg
3/19/2017 1:03:29 PM - Backing up RC_P2 ctmenu.dg
3/19/2017 1:03:30 PM - Backing up RC_P2 ctqmenu.dg
3/19/2017 1:03:30 PM - Backing up RC_P2 curpos.dg
3/19/2017 1:03:30 PM - Backing up RC_P2 dcschgd1.dg
3/19/2017 1:03:31 PM - Backing up RC_P2 dcschgd2.dg
3/19/2017 1:03:31 PM - Backing up RC_P2 dcschgd3.dg
3/19/2017 1:03:31 PM - Backing up RC_P2 dcsdiff.dg
3/19/2017 1:03:31 PM - Backing up RC_P2 dcsioc.sv
3/19/2017 1:03:31 PM - Backing up RC_P2 dcsioc.va
3/19/2017 1:03:31 PM - Backing up RC_P2 dcspos.sv
3/19/2017 1:03:31 PM - Backing up RC_P2 dcspos.va
3/19/2017 1:03:32 PM - Backing up RC_P2 dcsvrfy.dg
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi1.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi2.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi3.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi4.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi5.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_logi6.df
3/19/2017 1:03:32 PM - Backing up RC_P2 df_motn0.df
3/19/2017 1:03:32 PM - Backing up RC_P2 diocfgsv.io
3/19/2017 1:03:33 PM - Backing up RC_P2 diocfgsv.va
3/19/2017 1:03:33 PM - Backing up RC_P2 dmondef.sv
3/19/2017 1:03:33 PM - Backing up RC_P2 dmondef.va
3/19/2017 1:03:33 PM - Backing up RC_P2 easydbg.zip
3/19/2017 1:03:36 PM - Backing up RC_P2 eiplog.dg
3/19/2017 1:03:36 PM - Backing up RC_P2 email.dg
3/19/2017 1:03:36 PM - Backing up RC_P2 erract.ls
3/19/2017 1:03:36 PM - Backing up RC_P2 errall.ls
3/19/2017 1:03:36 PM - Backing up RC_P2 errapp.ls
3/19/2017 1:03:36 PM - Backing up RC_P2 errcomm.ls
3/19/2017 1:03:36 PM - Backing up RC_P2 errcurr.ls
